"N","RIP","#2b1bb0","Slackware","2006.5.5","2015.01.15",,,,,,,,,,,
"N","Voltalinux","#44dafd","Slackware","2006.6","2008.6",,,,,,,,,,,
"N","How-Tux","#dcd140","Slackware","2006.10","2008.3",,,,,,,,,,,
"N","Bluewhite64","#2356e6","Slackware","2006.10.4","2012.11.16",,,,,,,,,,,
"N","Absolute","#5a4114","Slackware","2006.10.22",,,,,,,,,,,,
"N","Wifislax","#303030","Slackware","2006.12.21",,,,,,,,,,,,
"N","Parted Magic","#58738f","Slackware","2007.01",,,,,,,,,,,,
"N","ARMedslack","#000","Slackware","2007.1.18",,,,"Slackware ARM","2012.8.25",,,,,,,
"N","SL4P","#000","ARMedslack","2012.3.20",,,,,,,,,,,,
"N","Draco","#bf0000","Slackware","2007.5.17","2015.12.23",,,,,,,,,,,
"N","SMS","#6283b9","Slackware","2007.8.10","2019.10.05",,,"Superb Mini Server","2010.6.11",,,,,,,
"N","Wifiway","#303030","Slackware","2008.12.3","2013.11.26",,,,,,,,,,,
"N","PLATYPUX","#884411","Slackware","2008.12.29","2014.11.9",,,,,,,,,,,
"N","Kongoni","#fec367","Slackware","2009.2","2014.07.15",,,,,,,,,,,
"N","Linvo","#9cc720","Slackware","2009.3.28","2014.07.14",,,,,,,,,,,
"N","Lin2Go","#2266cc","Slackware","2009.4","2010.12",,,,,,,,,,,
"N","Salix","#6e9834","Slackware","2009.9.16",,,,,,,,,,,,
"N","SlaXBMC","#2d25ce","Slackware","2011.6.1","2015",,,,,,,,,,,
"N","Slackel","#ddee22","Slackware","2011.6.16",,,,,,,,,,,,
"N","Porteus","#000099","Slackware","2011.6.20",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"N","Debian","#bf1238",,"1993.8.16",,"images/debian.svg",,,,,,,,,,
"N","Libranet","#0169c9","Debian","1999.11.9","2005.4.25",,,,,,,,,,,
"N","Corel","#ecba5b","Debian","1999.9","2008.8.2",,,"Xandros","2001.8.29",,,,,,,
"N","Storm","#2a2a98","Debian","1999.12","2001.4",,,,,,,,,,,
"N","ARMA aka Omoikane","#bfd0d6","Debian","2000.2",,,,,,,,,,,,
"N","ARMA","#bfd0d6","Debian","2000.2",,,,,,,,,,,,
"N","Knoppix","#c7bff0","Debian","2000.9.30",,,,,,,,,,,,
"N","Kurumin","#42328e","Knoppix","2003.2.18","2009.1.29",,,,,,,,,,,
"N","Gnoppix","#000","Knoppix","2003.6","2006",,,,,,,,,,,
